word, sentences,english_meaning
"die Badewanne, -n",Nach einem langen Arbeitstag setzte sie sich in die Badewanne.,the bathtub
"die Bahn, -en",Ich komme mit der Bahn.,the train
"S-Bahn, -en",Die S-Bahn ist schneller als die Straßenbahn.,S-Bahn
"die Straßenbahn, -en",Nehmen Sie die Straßenbahn Nr. 16.,the tram
"die U-Bahn, -en",Die letzte U-Bahn geht um 23.15 Uhr.,the subway
"der Bahnhof, ¨-e",Ich bringe Sie zum Bahnhof.,the station
"der Bahnsteig, -e (D, A)
→ CH: Perron",Auf Hauptbahnhöfen gibt es meist viele Bahnsteige.,the platform
bald,"1. Besuchen Sie uns doch bald mal.
2. Geben Sie mir bitte so bald wie möglich Bescheid.
3. Auf Wiedersehen, bis bald!",soon
"der Balkon, -e",Die Wohnung hat auch einen kleinen Balkon.,the balcony
"der Ball, ¨-e",Ich spiele gern mit meinen Kindern Ball.,the ball
"das Ballett, -e",Meine Tochter möchte gern Ballett tanzen.,the ballet
"die Banane, -n","1 Kilo Bananen, bitte.",the banana
"die Bank, ¨-e","Kommt, wir setzen uns auf die Bank da vorne.",the Bank
"die Bank, -en",Bei welcher Bank haben Sie Ihr Konto?,the Bank
"der Bancomat/Bankomat, -en (A, CH)
→ D: Geldautomat",Ich hole noch schnell Geld vom Bankomaten.,the ATM/ATM
"die Bankleitzahl, -en",Bitte geben Sie Ihre Bankleitzahl an.,the bank sort number
"die Bankomat-Karte, -n (A)
→ ec-Karte/EC-Karte",Sie können auch mit Bankomat-Karte zahlen.,the ATM card
"die Bar, -s","1. Setzen wir uns doch an die Bar!
2. Ich treffe meine Freundin in der Hotelbar.",the bar
bar,Zahlen Sie bar?,bear
das Bargeld,Ich habe kein Bargeld mehr.,the cash
"der Bart, ¨-e",John trägt jetzt einen Bart.,the beard
"der Basketball, ¨-e","1. Sie spielt sehr gern Basketball.
2. Er hat zum Geburtstag einen neuen Basketball bekommen.",the basketball
"basteln, bastelt, bastelte, hat gebastelt","1. Die Kinder basteln ein Vogelhaus.
2. Ich arbeite gern mit natürlichen Bastelmaterialien.",craft
"die Batterie, -n",Bringst du bitte Batterien für die Kamera mit?,the battery
"der Bauch, ¨-e",Mir tut der Bauch weh.,the stomach
"bauen, baut, baute, hat gebaut",Mein Nachbar hat ein Haus gebaut.,build
"der Bau, Bauten","1. Ich wohne in einer Neubauwohnung.
2. Unser Haus ist ein Altbau.",the construction
"die Baustelle, -n",Wir müssen die Baustelle umfahren.,the construction site
"der Bauer, -n",Wir kaufen unser Gemüse beim Bauern.,the farmer
"der Baum, ¨-e",Wir haben zwei Bäume im Garten.,the tree
"beachten, beachtet, beachtete, hat beachtet",Bitte beachten Sie die Ansagen am Bahnsteig.,observe
"der Beamte, -n
die Beamtin, -nen",Meine Frau ist Beamtin bei der Polizei.,the official
"beantragen, beantragt, beantragte, hat beantragt",Hast du schon einen neuen Pass beantragt?,apply for
"beantworten, beantwortet, beantwortete, hat beantwortet",Sie haben meine Frage leider nicht beantwortet.,answer
"sich bedanken, bedankt, bedankte, hat bedankt",Ich möchte mich noch einmal sehr herzlich für Ihre Hilfe bedanken.,to thank
der Bedarf,An diesem Produkt besteht großer Bedarf.,the need
"bedeuten, bedeutet, bedeutete, hat bedeutet","1. Was bedeutet dieses Wort?
2. Ich bin krank. Das bedeutet, dass ich heute nicht arbeiten kann.",mean
"die Bedeutung, -en",Das Wort „Maus“ hat inzwischen zwei Bedeutungen.,the meaning
"bedienen, bedient, bediente, hat bedient","1. Werden Sie schon bedient?
2. Die Kaffeemaschine ist ganz leicht zu bedienen.",serve
"die Bedienungsanleitung, -en",Die Bedienungsanleitung verstehe ich nicht.,the operating instructions
"die Bedingung, -en","1. Wenn Sie unsere Bedingungen akzeptieren, können wir einen Vertrag machen.
2. Wir haben in unserem Betrieb sehr gute Arbeitsbedingungen.",the condition
"sich beeilen, beeilt sich, beeilte sich, hat sich beeilt",Wir müssen uns beeilen. Sonst verpassen wir den Zug.,hurry up
"beenden, beendet, beendete, hat beendet",Du musst deine Ausbildung auf jeden Fall beenden.,finish
"sich befinden, befindet sich, befand sich, hat sich befunden",Das Bord-Bistro befindet sich in der Mitte des Zuges.,to find oneself
befreit,Studenten und Studentinnen sind von den Rundfunk-Gebühren befreit.,freed
befriedigend,Das Ergebnis ist befriedigend.,satisfactory
"begegnen, begegnet, begegnete, ist begegnet",Sind wir uns nicht schon mal irgendwann begegnet?,encounter
begeistert,Es war ein tolles Konzert. Ich bin begeistert.,enthusiastic
"beginnen, beginnt, begann, hat begonnen",In zwei Wochen beginnen die Sommerferien.,start
der Beginn,Zu Beginn der Stunde begrüßt die Lehrerin ihre Schüler.,the beginning
"begleiten, begleitet, begleitete, hat begleitet",Ich begleite dich ein Stück.,accompany
begrenzt,Die Teilnehmerzahl ist auf 12 begrenzt.,limited
"begründen, begründet, begründete, hat begründet",Bitte begründen Sie Ihre Meinung.,justify
"die Begründung, -en",Die Miete wurde ohne Begründung erhöht.,the justification
"begrüßen, begrüßt, begrüßte, hat begrüßt",Der Gastgeber begrüßt seine Gäste.,greet
"behalten, behält, behielt, hat behalten",Darf ich die Zeitschrift behalten?,keep
"behandeln, behandelt, behandelte, hat behandelt","1. Welcher Arzt hat Sie bis jetzt behandelt?
2. So lasse ich mich von Ihnen nicht länger behandeln.",treat
"behaupten, behauptet, behauptete, hat behauptet","1. Er behauptet, unsere Meinung sei nicht wichtig.
2. Es ist schwer, sich gegen meinen Kollegen zu behaupten.",claim
"behindern, behindert, behinderte, hat behindert behindert","1. Bitte parken Sie so, dass Sie niemanden behindern.
2. Seit dem Unfall ist das Kind unserer Freunde behindert.",hinder
"die Behörde, -n",Sie erhalten ein Schreiben von der zuständigen Behörde.,the authority
bei,"1. Potsdam liegt bei Berlin.
2. Ich wohne bei meinen Eltern.
3. Bei uns ist das anders als bei euch. Wir essen kein Fleisch.
4. Ich habe kein Geld bei mir.
5. Wir wollen euch nicht beim Essen stören.",at
beid-,"1. Beide waren mit meinem Vorschlag einverstanden.
2. Welche Bluse nehmen Sie, die rote oder die grüne? – Ich nehme beide.",both-
"das Bein, -e",Andreas hat sich das Bein gebrochen.,the leg
beinahe,Ich habe heute beinahe den Bus verpasst.,almost
"das Beispiel, -e","1. Können Sie mir ein Beispiel sagen?
2. Mein Freund hat viele Hobbys wie zum Beispiel Kochen, Tanzen, Fußballspielen.
3. Hier gibt’s so viele Sachen: beispielsweise Wurst, Obst, Brot …",the example
"beißen, beißt, biss, hat gebissen","Pass auf, dass dich der Hund nicht beißt!",bite
"der Beitrag, ¨-e","1. Die Krankenkasse hat die Beiträge erhöht.
2. Der Mitgliedsbeitrag für den Sportverein beträgt 34 Euro pro Monat.",the contribution
bekannt,"1. Ein Onkel von mir ist ein bekannter Politiker.
2. Dieses Lied ist sehr bekannt.",known
"der Bekannte, -n
die Bekannte, -n",In Hannover wohnen Bekannte von mir.,the acquaintance
"bekannt geben, gibt bekannt, gab bekannt, hat bekannt gegeben",Den Prüfungsort geben wir Ihnen noch rechtzeitig bekannt.,announce
"bekommen, bekommt, bekam, hat bekommen","1. Haben Sie meinen Brief bekommen?
2. Ich bekomme jeden Tag eine Spritze.
3. Was bekommen Sie? – 5 kg Kartoffeln.
4. Wir haben Besuch bekommen.
5. Laut Wetterbericht bekommen wir Regen.
6. Plötzlich bekam ich starke Kopfschmerzen.",receive
"der Beleg, -e",Brauchen Sie einen Beleg?,the receipt
"beleidigen, beleidigt, beleidigte, hat beleidigt","1. Ich wollte Sie nicht beleidigen.
2. Sei doch nicht immer gleich beleidigt.",insult
beliebt,Dieses Spiel ist bei Jugendlichen sehr beliebt.,popular
"bemerken, bemerkt, bemerkte, hat bemerkt","Ich habe nicht bemerkt, dass das Fenster offen ist.",notice
"sich bemühen, bemüht, bemühte, hat bemüht","1. Er hat sich sehr bemüht, etwas Gutes zu kochen.
2. Ich werde mich um einen Termin bemühen.",make an effort
"benötigen, benötigt, benötigte, hat benötigt","Sagen Sie Bescheid, wenn Sie noch etwas benötigen.",need
"benutzen, benutzt, benutzte, hat benutzt",Benutzen Sie bitte die öffentlichen Verkehrsmittel.,use
das Benzin,Das Benzin soll wieder teurer werden.,the gasoline
"beobachten, beobachtet, beobachtete, hat beobachtet",Wer hat den Unfall beobachtet?,observe
bequem,"1. Meine Kinder ziehen am liebsten bequeme Sachen an.
2. Im Supermarkt einkaufen ist sehr bequem.
3. Diesen Sessel finde ich sehr bequem.",comfortable
"beraten, berät, beriet, hat beraten","Unser Personal berät Sie gern, wenn Sie Fragen haben.",advise
die Beratung,Beratungen für Familien gibt es jeden Dienstag zwischen 14 und 16 Uhr.,the advice
"berechnen, berechnet, berechnete, hat berechnet",Die Kosten für die Fahrt müssen erst berechnet werden.,calculate
"der Bereich, -e","1. In welchem Bereich möchten Sie arbeiten?
2. Umfahren Sie den Baustellenbereich.",the area
bereit,"1. Ich bin jederzeit bereit, dir zu helfen.
2. Das Paket liegt auf der Post für Sie bereit.",ready
bereits,Bitte melde dich bei Frau Kaiser. Sie hat bereits dreimal angerufen.,already
"der Berg, -e","1. Die Zugspitze ist der höchste Berg in Deutschland.
2. Wir fahren jeden Sonntag in die Berge.
3. Auf dem Berg haben wir ein Picknick gemacht.",the mountain
"berichten, berichtet, berichtete, hat berichtet",Alle Zeitungen haben über den Unfall berichtet.,report
"der Bericht, -e",Ich habe gestern einen interessanten Bericht gelesen.,the report
"der Beruf, -e",Was sind Sie von Beruf?,the job
beruflich,Was machen Sie beruflich?,professionally
berufstätig,Sind Sie berufstätig?,employed
"beruhigen, beruhigt, beruhigte, hat beruhigt","1. Beruhigen Sie sich bitte. Es ist alles in Ordnung.
2. Ich kann Sie beruhigen. Ihrem Sohn ist nichts passiert.",calm
berühmt,Michael Schumacher ist ein berühmter Rennfahrer.,famous
"beschädigen, beschädigt, beschädigte, hat beschädigt","Bitte machen Sie eine Liste davon, was die Einbrecher beschädigt haben.",damage
"beschäftigen, beschäftigt, beschäftigte, hat beschäftigt","1. Womit haben Sie sich bei Ihrer Arbeit beschäftigt?
2. Seit wann sind Sie bei dieser Firma beschäftigt?",occupy
die Beschäftigung,"Ich suche eine Halbtagsbeschäftigung, weil ich ein kleines Kind habe.",the employment
"der Bescheid, -e",Den endgültigen Bescheid erhalten Sie in etwa vier Wochen.,the notice
Bescheid sagen,Ich erkundige mich nach den Terminen und sage Ihnen dann Bescheid.,let me know
Bescheid geben,Kannst du mir bis morgen Bescheid geben?,Let me know
"beschließen, beschließt, beschloss, hat beschlossen","Wir haben beschlossen, uns ein kleineres Auto zu kaufen.",decide
beschränken,Die Teilnehmerzahl für den Kurs ist beschränkt.,restrict
"beschreiben, beschreibt, beschrieb, hat beschrieben",Kannst du mir den Weg zum Flughafen beschreiben?,describe
"die Beschreibung, -en",Eine Beschreibung des Geräts liegt bei.,the description
"sich beschweren, beschwert sich, beschwerte sich, hat sich beschwert",Wo können wir uns beschweren?,complain
"besetzen, besetzt, besetzte, hat besetzt","1. Dieser Platz ist besetzt.
2. Ich habe drei Plätze besetzt.
3. Ich habe jetzt schon dreimal dort angerufen. Es ist immer besetzt.",occupy
"besichtigen, besichtigt, besichtigte, hat besichtigt",Im Urlaub haben wir Schloss Schönbrunn besichtigt.,view
"besitzen, besitzt, besaß, hat besessen",Besitzt Ihre Frau ein eigenes Auto?,own
besonder-,Meine Eltern wollten uns mit dieser Reise eine ganz besondere Freude machen.,special-
besonders,"1. Ich habe heute ein besonders günstiges Angebot gesehen.
2. Durch den Sturm gab es besonders in Süddeutschland schwere Schäden.
3. Wie geht’s? – Nicht besonders.",particularly
"besorgen, besorgt, besorgte, hat besorgt",Soll ich die Eintrittskarten besorgen?,obtain
"besprechen, bespricht, besprach, hat besprochen","Wir müssen noch genau besprechen, wann wir losfahren und was wir mitnehmen.",discuss
"die Besprechung, -en","Tut mir leid, Herr Schmidt ist noch in einer Besprechung.",the meeting
die Besserung,Gute Besserung!,the improvement
"bestätigen, bestätigt, bestätigte, hat bestätigt","1. Die Firma hat mir den Termin schriftlich bestätigt.
2. Ich kann bestätigen, dass er hier war.",confirm
"die Bestätigung, -en",Ich brauche eine schriftliche Bestätigung für das Amt.,the confirmation
"bestehen, besteht, bestand, hat bestanden","1. Das Modul Lesen besteht aus fünf Teilen.
2. Ich habe die Prüfung bestanden!",consist
"bestellen, bestellt, bestellte, hat bestellt","1. Wir haben Pizza bestellt.
2. Ich bin für 16 Uhr zum Vorstellungsgespräch bestellt.
3. Ich soll Ihnen Grüße von Frau Meier bestellen.",order
bestimmt,"1. Das hat Nancy bestimmt nicht so gemeint.
2. Möchtest du ein bestimmtes Brot?",certainly
"bestrafen, bestraft, bestrafte, hat bestraft",Zu schnelles Fahren wird streng bestraft.,punish
"besuchen, besucht, besuchte, hat besucht","1. Besuchen Sie uns doch mal.
2. Sie müssen noch einen Kurs besuchen.",visit
"der Besuch, -e","1. Wir bekommen Besuch.
2. Ich mache einen Besuch im Krankenhaus.
3. Ich bin hier nur zu Besuch.",the visit
"sich beteiligen, beteiligt sich, beteiligte sich, hat sich beteiligt",Wir wollen unserer Lehrerin ein Geschenk kaufen. Wer möchte sich beteiligen?,participate
"der Betrag, ¨-e",Bitte überweisen Sie den Betrag auf unser Konto.,the amount
"betreuen, betreut, betreute, hat betreut",Wer betreut bei Ihnen die Kinder?,look after
"der Betreuer, -
die Betreuerin, -nen",Die Betreuerin der Kinder ist sehr nett.,the supervisor
die Betreuung,Haben Sie eine Betreuung für Ihre Kinder?,the care
"der Betrieb, -e","1. In diesem Betrieb arbeiten zehn Leute.
2. Kurz vor Weihnachten ist in den Kaufhäusern immer viel Betrieb.
3. Der Aufzug ist in Betrieb/außer Betrieb.",the operation
"der Betriebsrat, ¨-e
die Betriebsrätin, -nen",Der Betriebsrat wird Sie über die neuen Arbeitszeiten informieren.,the works council
"betrügen, betrügt, betrog, hat betrogen","1. Ich würde meine Familie niemals betrügen.
2. Die Rechnung stimmt nicht. Der Kellner hat mich betrogen.",deceive
betrunken,"Wenn Sie betrunken Auto fahren, verlieren Sie Ihren Führerschein.",drunk
"das Bett, -en","1. Wir wollten uns neue Betten kaufen.
2. Solange Sie Fieber haben, müssen Sie im Bett bleiben.",the bed
die Bevölkerung,11 % der Bevölkerung wurden nicht im Inland geboren.,the population
bevor,"Bevor wir gehen, möchte ich noch etwas essen.",before
"bewegen, bewegt, bewegte, hat bewegt","1. Ich kann mich vor Schmerzen kaum noch bewegen.
2. Ich kann meinen Finger nicht mehr bewegen.",move
"die Bewegung, -en",Sie brauchen mehr Bewegung. Sie müssen regelmäßig spazieren gehen.,the movement
"beweisen, beweist, bewies, hat bewiesen","Wir können beweisen, dass Sie bei Rot über die Ampel gefahren sind.",prove
"der Beweis, -e",Haben Sie dafür Beweise?,the proof
"sich bewerben, bewirbt sich, bewarb sich, hat sich beworben","1. Ich habe mich um diese Stelle beworben.
2. Ich habe mich als Kellner beworben.",apply
"die Bewerbung, -en","1. Wohin soll ich meine Bewerbung schicken?
2. Hilfst du mir bei meiner Bewerbung?",the application
"der Bewohner, -
die Bewohnerin, -nen",Ich kenne die anderen Hausbewohner nicht.,the resident
"bezahlen, bezahlt, bezahlte, hat bezahlt",Hast du die Rechnung schon bezahlt?,pay
"die Beziehung, -en",Wir haben gute Beziehungen zu unseren Nachbarn.,the relationship
"die Bibliothek, -en",Die Stadtbibliothek hat bereits geschlossen.,the library
das Bier,"Ein Bier, bitte!",the beer
"bieten, bietet, bot, hat geboten","1. Er hat mir für den alten Wagen noch 800 Euro geboten.
2. Die Firma bietet ihren Mitarbeitern die Möglichkeit, Sprachkurse zu besuchen.",offer
"das Bild, -er",Ein Bild von meinen Kindern hängt über meinem Schreibtisch.,the picture
"der Bildschirm, -e","1. Ich brauche einen größeren Bildschirm für meinen Computer.
2. Wir haben einen Fernsehapparat mit einem sehr großen Bildschirm.",the screen
"das Billett, -e/-s
→ D, A: Fahrkarte",Ein Billett können Sie am Schalter kaufen.,the ticket
billig,Dieses Buch ist nicht ganz billig.,cheap
die Biologie,Meine Freundin studiert Biologie.,the biology
Bio-,Ich kaufe nur noch Biogemüse.,organic
bio(logisch),Biologische Lebensmittel gibt es jetzt auch im Supermarkt.,organic(logical)
"die Birne, -n",Möchten Sie Obst? Die Birnen sind heute besonders schön.,the pear
bis,"1. Die Linie 8 fährt nur bis zum Hauptbahnhof.
2. Bis wann können Sie bleiben?
3. Tschüs. Bis gleich!
4. Einige Züge hatten bis zu zwei Stunden Verspätung.
5. Für die Renovierung brauchen wir drei bis vier Tage.
6. Warte hier, bis ich zurückkomme.",until
bisher,Bisher ist alles in Ordnung.,until now
ein bisschen,"1. Wenn Sie ein bisschen warten, können wir zusammen gehen.
2. Möchten Sie noch ein bisschen Reis?
3. Können Sie bitte ein bisschen lauter sprechen?
4. Sprechen Sie Englisch? – Ein bisschen.",a little bit
"bitten, bittet, bat, hat gebeten","Darf ich Sie bitten, kurz zuzuhören?",ask
"die Bitte, -n",Ich habe eine Bitte. Kann ich mal Ihr Handy benutzen?,the request
bitte,"1. Eine Tasse Kaffee, bitte!
2. Bitte schön!
3. Wie bitte? Was haben Sie gesagt?
4. Sprechen Sie bitte langsam.",please
bitter,Hast du Zucker? Der Tee ist sehr bitter.,bitter
blass,Du siehst ganz blass aus. Bist du krank?,pale
"das Blatt, ¨-er","1. Die Bäume bekommen schon gelbe Blätter.
2. Haben Sie ein Blatt Papier für mich?",the leaf
"bleiben, bleibt, blieb, ist geblieben","1. Ich bleibe heute zu Hause.
2. Im Juni und Juli bleibt unser Geschäft samstags geschlossen.
3. Bleiben Sie bitte am Apparat.
4. Bleiben Sie doch sitzen!
5. Wir bleiben nur bis morgen.",remain
"der Bleistift, -e",Hast du einen Bleistift für mich?,the pencil
"der Blick, -e",Von hier hat man einen tollen Blick über die Stadt.,the view
blind,Er ist von Geburt an blind.,blind
"blitzen, blitzt, blitzte, hat geblitzt","1. Gestern Abend gab es ein Gewitter. Es hat furchtbar geblitzt und gedonnert.
2. Ihre Augen blitzen vor Freude.",flash
"der Blitz, -e","1. Was für ein Gewitter, hast du den Blitz gesehen?
2. Hast du das Foto mit Blitz gemacht?",the lightning
